Name,Organization,Status
Alexander Macomb,Columbian Institute for the Promotion of Arts and Sciences,Member
George Bomford,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathan Towson,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Lovell,Columbian Institute for the Promotion of Arts and Sciences,Member
J. A. Brereton,Columbian Institute for the Promotion of Arts and Sciences,Member
John Rodgers,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Tingey,Columbian Institute for the Promotion of Arts and Sciences,Member
Charles Wilkes,Columbian Institute for the Promotion of Arts and Sciences,Member
Bailey Washington,Columbian Institute for the Promotion of Arts and Sciences,Member
William Cranch,Columbian Institute for the Promotion of Arts and Sciences,Member
Buckner Thruston,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Bland Lee,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathaniel P. Causin,Columbian Institute for the Promotion of Arts and Sciences,Member
Elias B. Caldwell,Columbian Institute for the Promotion of Arts and Sciences,Member
William Brent,Columbian Institute for the Promotion of Arts and Sciences,Member
William Thornton,Columbian Institute for the Promotion of Arts and Sciences,Member
Josiah Meigs,Columbian Institute for the Promotion of Arts and Sciences,Member
George Watterston,Columbian Institute for the Promotion of Arts and Sciences,Member
Phineas Bradley,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel Lane,Columbian Institute for the Promotion of Arts and Sciences,Member
William Noland,Columbian Institute for the Promotion of Arts and Sciences,Member
Matthew St. Clair Clarke,Columbian Institute for the Promotion of Arts and Sciences,Member
Asbury Dickins,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas L. Thurston,Columbian Institute for the Promotion of Arts and Sciences,Member
Benjamin Homans,Columbian Institute for the Promotion of Arts and Sciences,Member
Walter Jones,Columbian Institute for the Promotion of Arts and Sciences,Member
William Lambert,Columbian Institute for the Promotion of Arts and Sciences,Member
William Elliot,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Anderson,Columbian Institute for the Promotion of Arts and Sciences,Member
John Underwood,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathaniel Cutting,Columbian Institute for the Promotion of Arts and Sciences,Member
Robert King,Columbian Institute for the Promotion of Arts and Sciences,Member
Isaac Roberdeau,Columbian Institute for the Promotion of Arts and Sciences,Member
William Hewitt,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Munroe,Columbian Institute for the Promotion of Arts and Sciences,Member
William Prout,Columbian Institute for the Promotion of Arts and Sciences,Member
Robert Brent,Columbian Institute for the Promotion of Arts and Sciences,Member
Daniel Rapine,Columbian Institute for the Promotion of Arts and Sciences,Member
James H. Blake,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Carbery,Columbian Institute for the Promotion of Arts and Sciences,Member
Roger C. Weightman,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Gales. jr,Columbian Institute for the Promotion of Arts and Sciences,Member
John P. VanNess,Columbian Institute for the Promotion of Arts and Sciences,Member
William A. Bradley,Columbian Institute for the Promotion of Arts and Sciences,Member
Peter Force,Columbian Institute for the Promotion of Arts and Sciences,Member
William W. Seaton,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Wallach,Columbian Institute for the Promotion of Arts and Sciences,Member
B. S. Bohrer,Columbian Institute for the Promotion of Arts and Sciences,Member
James S. Gunnell,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Henderson,Columbian Institute for the Promotion of Arts and Sciences,Member
Henry Huntt,Columbian Institute for the Promotion of Arts and Sciences,Member
Alexander McWilliams,Columbian Institute for the Promotion of Arts and Sciences,Member
George May,Columbian Institute for the Promotion of Arts and Sciences,Member
Frederick May,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Randall,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Sewall,Columbian Institute for the Promotion of Arts and Sciences,Member
John T. Shaaf,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Sims,Columbian Institute for the Promotion of Arts and Sciences,Member
JohnM. Thomas,Columbian Institute for the Promotion of Arts and Sciences,Member
Tobias Watkins,Columbian Institute for the Promotion of Arts and Sciences,Member
Nicholas Worthington,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Bigelow,Columbian Institute for the Promotion of Arts and Sciences,Member
Obadiah B. Brown,Columbian Institute for the Promotion of Arts and Sciences,Member
John N. Campbell,Columbian Institute for the Promotion of Arts and Sciences,Member
Ira Chase,Columbian Institute for the Promotion of Arts and Sciences,Member
R. R. Gurley,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Hunter,Columbian Institute for the Promotion of Arts and Sciences,Member
James Laurie,Columbian Institute for the Promotion of Arts and Sciences,Member
Robert Little,Columbian Institute for the Promotion of Arts and Sciences,Member
William Matthews,Columbian Institute for the Promotion of Arts and Sciences,Member
Isaac Orr,Columbian Institute for the Promotion of Arts and Sciences,Member
William Staughton,Columbian Institute for the Promotion of Arts and Sciences,Member
Archibald Henderson,Columbian Institute for the Promotion of Arts and Sciences,Member
John McClelland,Columbian Institute for the Promotion of Arts and Sciences,Member
William Tatham,Columbian Institute for the Promotion of Arts and Sciences,Member
John Coyle jr,Columbian Institute for the Promotion of Arts and Sciences,Member
Samuel Eliot jr.,Columbian Institute for the Promotion of Arts and Sciences,Member
Tobias Lear,Columbian Institute for the Promotion of Arts and Sciences,Member
John Stretch,Columbian Institute for the Promotion of Arts and Sciences,Member
Timothy Winn,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Mechlin,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas P. Jones,Columbian Institute for the Promotion of Arts and Sciences,Member
Edmund Law,Columbian Institute for the Promotion of Arts and Sciences,Member
Benjamin L. Lear,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathaniel Bowditch,Columbian Institute for the Promotion of Arts and Sciences,Member
William Darlington,Columbian Institute for the Promotion of Arts and Sciences,Member
Jared Sparks,Columbian Institute for the Promotion of Arts and Sciences,Member
John Trumbull,Columbian Institute for the Promotion of Arts and Sciences,Member
Parker Cleaveland,Columbian Institute for the Promotion of Arts and Sciences,Member
Ferdinand R. Hassler,Columbian Institute for the Promotion of Arts and Sciences,Member
Peter S. Du Ponceau,Columbian Institute for the Promotion of Arts and Sciences,Member
Benjamin Silliman,Columbian Institute for the Promotion of Arts and Sciences,Member
Noah Webster,Columbian Institute for the Promotion of Arts and Sciences,Member
John J. Abert,Columbian Institute for the Promotion of Arts and Sciences,Member
James Madison,Federal Government,Member
Daniel D. Tompkins,Federal Government,Member
John Quincy Adams,Federal Government,Member
Daniel Brent,Federal Government,Member
Richard,Federal Government,Member
John B. Colvin,Federal Government,Member
Josias W. King,Federal Government,Member
Moses Young,Federal Government,Member
John Bailey,Federal Government,Member
Andrew T. McCormick,Federal Government,Member
Fontaine Maury,Federal Government,Member
Thomas L. Thurston,Federal Government,Member
George E. Ironside,Federal Government,Member
Joseph Waring,Federal Government,Member
William Maul,Federal Government,Member
William Thornton,Federal Government,Member
William Elliot,Federal Government,Member
Robert W. Fenwick,Federal Government,Member
William H. Crawford,Federal Government,Member
Edward Jones,Federal Government,Member
James L. Anthony,Federal Government,Member
Asbury Dickens,Federal Government,Member
Thomas Dungan,Federal Government,Member
Samuel M. McKean,Federal Government,Member
William Gibson,Federal Government,Member
Robert Newell,Federal Government,Member
John Connell,Federal Government,Member
William Eisenbeck,Federal Government,Member
Alexander Watson,Federal Government,Member
Joseph Anderson,Federal Government,Member
John Laub,Federal Government,Member
Samuel Hanson,Federal Government,Member
William Williamson,Federal Government,Member
Lund Washington,Federal Government,Member
William Anderson,Federal Government,Member
John Woodside,Federal Government,Member
Charles P. Polk,Federal Government,Member
Richard S. Briscoe,Federal Government,Member
James Larned,Federal Government,Member
John Burke,Federal Government,Member
Benjamin Harrison,Federal Government,Member
Thomas F. Auderson,Federal Government,Member
David P. Polk,Federal Government,Member
Pontius D. Stelle,Federal Government,Member
Samuel P. Webster,Federal Government,Member
John N. Lovejoy,Federal Government,Member
Richard Cutts,Federal Government,Member
Enoch Reynolds,Federal Government,Member
John N. Moulder,Federal Government,Member
Jonathan Seaver,Federal Government,Member
Joseph Hinkley,Federal Government,Member
John Ward,Federal Government,Member
John H. Lowe,Federal Government,Member
Aaron Vail,Federal Government,Member
Madison Cutts,Federal Government,Member
John Sessford,Federal Government,Member
Richard Harrison,Federal Government,Member
William Parker,Federal Government,Member
Jeremiah Williams,Federal Government,Member
William Moreton,Federal Government,Member
Ezekiel King,Federal Government,Member
John Coyle,Federal Government,Member
James Watson,Federal Government,Member
John Coyle Jr..,Federal Government,Member
